model,term,coefficient,ci_lower,ci_upper,p_value
A,Intercept,9.321965932016491,7.847440524013431,10.796491340019552,4.2344425587883875e-30
A,C(school)[T.MS],-0.11036465705081566,-1.4320877861246717,1.2113584720230404,0.8696834312058638
A,C(sex)[T.M],1.3771269311894665,0.4902489672771121,2.264004895101821,0.002422206889695004
A,failures,-2.1951254153614936,-2.7698612260268036,-1.6203896046961836,4.10874257849494e-13
A,studytime,0.4683620917784638,-0.06889197234759326,1.0056161559045207,0.08733066295882055
A,absences,0.04105140930519962,-0.012070952117671133,0.09417377072807037,0.12949177269109247
B,Intercept,-1.5661266490673964,-2.464383482463279,-0.6678698156715137,0.0006734680348902452
B,C(school)[T.MS],0.06322148793854165,-0.533631595935403,0.6600745718124863,0.8351355849567224
B,C(sex)[T.M],0.1771058239735577,-0.22803919456369734,0.5822508425108127,0.3906132862350288
B,failures,-0.2913198784499945,-0.5684899043299518,-0.014149852570037258,0.03944745170871827
B,studytime,-0.14138232129471628,-0.38652156767186424,0.10375692508243167,0.2575209720061521
B,absences,0.03783267989133252,0.013872191592820264,0.06179316818984478,0.0020467978961909647
B,G1,0.14640274152101618,0.03617086850529591,0.2566346145367364,0.009371613546942225
B,G2,0.9765020209737085,0.8795755920083381,1.073428449939079,8.45415398742431e-61
