effect_points,n_per_arm,rejection_rate,mean_estimated_effect
0.0,50,0.0455,0.02831506243513303
0.0,100,0.0505,-0.01922505348030022
0.0,150,0.0445,0.011884669786751264
0.0,200,0.0585,-0.007413968755405629
0.0,300,0.046,0.0033645006971922574
0.0,400,0.058,0.005367652704990318
1.0,50,0.206,1.012217180940845
1.0,100,0.331,0.9640006918443833
1.0,150,0.453,0.9547138094556328
1.0,200,0.575,0.9596683409252261
1.0,300,0.78,0.9721520232532678
1.0,400,0.864,0.9644201103892781
1.5,50,0.3625,1.4528842524457355
1.5,100,0.638,1.4556145486904988
1.5,150,0.805,1.4391621654866187
1.5,200,0.888,1.4366900596927723
1.5,300,0.983,1.4441611640526366
1.5,400,0.998,1.4421783035930644
2.0,50,0.5975,1.9426134705713183
2.0,100,0.85,1.8938281586836283
2.0,150,0.965,1.9065111937305654
2.0,200,0.996,1.9310010149922612
2.0,300,1.0,1.930345488298967
2.0,400,1.0,1.9228165872877436
