model,term,coefficient,hc3_se,ci_low,ci_high,p_raw
Model A,Intercept,14.077692931389787,4.773295463571848,4.690201229535017,23.465184633244558,0.0033964812442773165
Model A,C(school)[T.MS],0.7255512804682114,0.8393215742561381,-0.925116350238488,2.376218911174911,0.38792462920245646
Model A,C(sex)[T.M],1.2623619461337918,0.5254132083265645,0.22904813372636212,2.2956757585412215,0.016791400545197687
Model A,C(address)[T.U],0.551349600025982,0.5746685764987216,-0.5788332127432912,1.6815324127952551,0.33799923357698297
Model A,C(famsize)[T.LE3],0.7028064425617389,0.5013033702544561,-0.28309130131143423,1.688704186434912,0.16180143917992212
Model A,C(Pstatus)[T.T],-0.3200961812516298,0.744528350427799,-1.7843369274564622,1.1441445649532025,0.6675063319415482
Model A,C(Mjob)[T.health],0.9980826159623898,1.1704635514795716,-1.3038316402768113,3.2999968722015907,0.39438719445942005
Model A,C(Mjob)[T.other],-0.3590022503914899,0.8230354361539166,-1.9776404399172196,1.2596359391342395,0.6629618885976571
Model A,C(Mjob)[T.services],0.6583217173327689,0.9340938133889561,-1.1787315279279027,2.4953749625934405,0.48141520907816954
Model A,C(Mjob)[T.teacher],-1.2414904337106099,1.1266194813925459,-3.4571779211988347,0.974197053777615,0.27122527458479173
Model A,C(Fjob)[T.health],0.34767448660802625,1.4798821871003802,-2.562763774997482,3.258112748213535,0.8143954929369015
Model A,C(Fjob)[T.other],-0.6196684818460745,1.220100110125046,-3.019201413893024,1.7798644502008751,0.6118505894896566
Model A,C(Fjob)[T.services],-0.4657718289583346,1.2453179174125175,-2.914899838128997,1.9833561802123278,0.7086139032801213
Model A,C(Fjob)[T.teacher],1.3261869956011016,1.5719303222076608,-1.7652794699120273,4.417653461114231,0.39942318721553705
Model A,C(reason)[T.home],0.07851035686223237,0.5754382274865296,-1.0531861045626734,1.210206818287138,0.8915541366581342
Model A,C(reason)[T.other],0.7770700836232806,0.8122227194683604,-0.8203030723559589,2.37444323960252,0.3393594362551806
Model A,C(reason)[T.reputation],0.6130403880758283,0.5954654912258972,-0.5580430699427233,1.78412384609438,0.3039388585661459
Model A,C(guardian)[T.mother],0.06977971682041842,0.5682627001637406,-1.0478048582330728,1.1873642918739096,0.9023390618500351
Model A,C(guardian)[T.other],0.7501044471031811,1.2051713645005304,-1.6200685853233145,3.1202774795296766,0.5340752880619559
Model A,C(schoolsup)[T.yes],-1.3505838239561383,0.666138494614389,-2.66065767926264,-0.04050996864963663,0.04335979756828575
Model A,C(famsup)[T.yes],-0.861818959857346,0.4966874787792189,-1.8386387735560423,0.11500085384135039,0.08358505334759408
Model A,C(paid)[T.yes],0.33974766954958674,0.4820625919083382,-0.608309834087075,1.2878051731862483,0.481409793340743
Model A,C(activities)[T.yes],-0.32952996108968224,0.494091156092658,-1.3012436677264057,0.6421837455470412,0.5052426663977703
Model A,C(nursery)[T.yes],-0.17730345548492005,0.5789165010424648,-1.315840529311114,0.961233618341274,0.7595803287173822
Model A,C(higher)[T.yes],1.3704506824254972,1.394250791073085,-1.3715789764108581,4.112480341261852,0.3263113879909922
Model A,C(internet)[T.yes],0.4981349729989015,0.6609221830102804,-0.8016801245433749,1.797950070541178,0.45153085742472987
Model A,C(romantic)[T.yes],-1.0944943946411703,0.5177176710605856,-2.112673633298239,-0.07631515598410132,0.03520566653014198
Model A,age,-0.3751585973418717,0.2443027023168895,-0.8556211222877625,0.10530392760401913,0.12551985699199464
Model A,Medu,0.4568658951992265,0.31403354141926515,-0.16073410184169523,1.0744658922401482,0.14659953072484927
Model A,Fedu,-0.10457574021670754,0.28331444381984,-0.6617614436100117,0.4526099631765965,0.7122617229367437
Model A,traveltime,-0.24027069157675482,0.3862893692130277,-0.9999739774254097,0.5194325942719,0.5343433332870062
Model A,studytime,0.5495171539102368,0.32958924520115895,-0.09867576185601468,1.1977100696764884,0.09634086771753156
Model A,failures,-1.723976937120638,0.4100832888014119,-2.530474984449114,-0.917478889792162,3.323319071722954e-05
Model A,famrel,0.23155084718554036,0.2784284161895042,-0.3160256576603753,0.7791273520314561,0.4061739702331989
Model A,freetime,0.3024194345853189,0.2697581861205697,-0.22810559849513662,0.8329444676657745,0.2630132847074087
Model A,goout,-0.5936709646224027,0.2637358827775666,-1.1123521210583167,-0.07498980818648848,0.02499644484409947
Model A,Dalc,-0.27222859122260745,0.32713427599102624,-0.9155933954117925,0.3711362129665776,0.4058771524647531
Model A,Walc,0.2633852275031118,0.2645434247539752,-0.2568840966170133,0.7836545516232368,0.32011202967138563
Model A,health,-0.17678115854466092,0.16705326128837977,-0.5053196108739774,0.15175729378465552,0.290669074127624
Model A,absences,0.05629147138461992,0.03174210541343346,-0.006134739907364316,0.11871768267660415,0.0770196186552748
